#{"t_start": 1765854108.7637842, "env_id": "None"}
r,l,t
455.866662,242,1129.0915
-25.734884,400,1130.971502
78.669268,237,1131.461385
74.564523,267,1133.070138
79.607931,341,1134.920038
233.298523,1,1134.957681
925.165757,400,1135.753572
59.606222,341,1137.560496
127.341615,341,1139.381232
898.389709,400,1141.325419
126.194814,341,1142.084955
-239.398323,341,1143.832633
327.215772,179,1144.241236
45.568306,189,1145.693638
-44.838906,300,1146.472123
372.308805,341,1148.316469
-230.330083,341,1149.067456
6.114649,13,1150.194155
144.905455,341,1150.956171
-67.804609,300,1152.732275
376.509136,341,1153.42312
-35.524145,400,1155.27968
70.335557,233,1156.8188
38.442969,324,1157.618763
169.87276,362,1159.571707
62.98557,246,1160.134187
-29.758973,300,1161.802135
525.809899,341,1163.758579
-4.224647,400,1165.60087
-25.834381,400,1166.570495
233.298523,1,1166.608451
65.320377,207,1168.17536
638.563192,318,1168.903652
476.957606,341,1170.686467
223.956325,1,1170.726389
-30.413958,300,1172.55724
21.08757,20,1172.629466
-15.119518,9,1172.679893
504.131994,300,1173.448431
-11.980058,4,1173.491183
-30.491137,400,1175.415471
318.314309,331,1177.30444
41.122922,124,1177.568216
138.855412,341,1179.46628
-21.685361,7,1179.512976
436.51337,341,1180.192319
-24.966361,25,1180.273892
106.668528,341,1182.153557
82.515164,197,1182.578527
421.07078,341,1184.488508
-22.767051,8,1184.538696
100.27256,341,1186.367484
-111.84343,247,1186.845833
50.450232,341,1188.643104
-36.382458,400,1190.45779
-29.51372,400,1191.371238
-22.121905,13,1191.426968
10.077727,15,1191.48389
347.712109,294,1193.218149
19.791733,341,1195.000709
-45.988675,300,1195.632822
119.124043,341,1197.453882
339.339766,341,1199.34052
233.298523,1,1199.378124
-10.683889,27,1199.4882
-76.046437,341,1200.28954
-125.768408,281,1201.89223
20.258565,341,1203.691616
-29.031245,300,1204.32221
888.278241,300,1206.026861
233.298523,1,1206.064509
-76.506097,400,1208.016598
480.394959,245,1208.605588
233.298523,1,1208.642963
24.303569,341,1210.46818
