#{"t_start": 1765854108.7559495, "env_id": "None"}
r,l,t
1059.673822,300,2978.326317
-6.164377,341,2983.316154
708.581634,400,2989.075053
477.591112,341,2994.000905
160.851704,293,2998.324068
2.418733,300,3002.615387
398.462488,341,3007.616201
538.973787,400,3013.562893
615.443752,300,3017.896161
-11.350277,300,3022.247021
228.492962,1,3022.295198
697.117448,351,3027.353495
374.815912,341,3032.220713
571.76381,400,3037.965161
-17.950925,1,3038.014041
-33.027841,341,3042.965096
-40.004434,341,3047.904088
-26.663259,15,3048.149133
622.73539,300,3052.450962
368.97341,192,3055.247234
650.994871,400,3061.10383
228.345393,1,3061.152156
898.358468,400,3066.849066
397.577561,302,3071.182496
744.315261,373,3076.534736
420.325765,244,3080.023333
632.338437,300,3084.360146
690.749413,400,3090.03589
-1.699889,341,3094.922299
626.83149,300,3099.216236
324.653457,400,3104.975338
-79.971302,382,3110.570006
448.068262,341,3115.435639
10.236609,300,3119.756552
363.072157,302,3124.126939
476.397444,341,3129.047907
334.014207,400,3134.747818
-72.332309,361,3139.882701
352.84363,184,3142.57856
409.517993,252,3146.26555
363.084024,189,3148.947538
351.151877,185,3151.76796
634.584793,300,3156.109129
398.980604,240,3159.622059
315.287218,163,3162.001584
-85.395316,391,3167.627799
360.060094,265,3171.509041
9.810646,300,3175.759908
-34.128191,341,3180.678101
1065.409289,300,3185.036217
367.922768,270,3188.997325
902.441957,400,3194.878486
10.38711,300,3199.244261
1054.243928,300,3203.632316
625.827535,300,3208.011112
632.276114,300,3212.374995
608.351275,300,3216.708082
232.952507,1,3216.749706
333.754276,230,3220.241202
14.781317,400,3225.999375
56.375686,176,3228.625674
-12.487621,341,3233.567133
617.948032,300,3237.933426
440.57722,341,3242.851915
622.022331,300,3247.231727
9.270385,400,3253.011705
232.756583,1,3253.054039
371.91803,243,3256.624739
1322.47754,293,3260.828798
232.775187,1,3260.871233
232.982393,1,3260.912247
903.223106,400,3266.727917
9.410325,300,3271.073462
926.409148,400,3276.870071
622.98771,300,3281.243266
902.4283,400,3287.058929
-30.739207,41,3287.662264
-12.020299,300,3292.070683
633.364377,300,3296.400598
-8.672414,300,3300.765497
628.851756,300,3305.099916
-28.551031,341,3310.081985
8.607735,300,3314.41789
187.51828,325,3319.105815
433.13383,341,3324.002169
232.956362,1,3324.043617
265.909521,141,3326.024294
441.993302,279,3330.081253
-26.556923,300,3334.419605
336.078619,400,3340.176214
-34.062869,341,3345.190779
399.690814,341,3350.131742
903.083606,400,3355.956056
626.028376,300,3360.543185
299.832304,163,3363.136869
1055.587595,300,3367.629746
-13.548248,12,3367.856341
-38.810744,341,3373.190246
233.162826,1,3373.234776
419.443826,341,3378.388634
-29.179466,341,3383.471862
-25.484781,341,3388.629544
-35.435666,341,3393.789477
207.070411,1,3393.830847
-3.972297,9,3393.984077
291.112227,151,3396.21342
-29.144273,341,3401.3295
232.887217,1,3401.370808
717.908105,400,3407.90853
719.849298,400,3414.593415
630.989658,300,3419.563307
418.427563,341,3425.208275
59.780959,177,3428.232958
217.909473,380,3434.567928
478.594353,341,3440.244707
233.111127,1,3440.288238
6.472608,300,3445.332186
416.229949,341,3451.001582
233.131313,1,3451.045472
352.70719,299,3456.03335
-25.763821,341,3461.656775
408.247677,341,3467.275363
-18.108944,9,3467.448723
590.614143,300,3472.462075
331.899574,400,3479.112569
-23.782425,341,3484.813372
400.561729,221,3488.418795
73.215412,171,3491.339437
418.417975,341,3496.907252
-34.430955,341,3502.636678
-23.353842,341,3508.409203
999.401164,300,3513.458802
5.537461,300,3518.460722
10.343548,300,3523.213298
233.182736,1,3523.25511
335.091779,173,3525.750545
425.936589,341,3531.22714
354.971394,188,3534.366067
11.803637,400,3541.138005
902.276826,400,3547.804147
-24.542564,22,3548.18712
341.123443,221,3551.846489
7.383916,400,3558.593568
398.110646,218,3562.23769
5.475619,300,3567.244476
73.661992,182,3570.264686
-15.591236,300,3575.275295
599.726423,304,3580.278054
621.680006,300,3585.303609
621.747594,300,3590.283206
-47.507165,300,3595.266909
-37.335837,341,3600.964348
365.010216,189,3604.13832
357.187439,188,3607.37526
-13.424678,341,3612.972768
-33.392531,341,3618.63622
0.452506,10,3618.827321
-32.533292,341,3624.668552
899.7308,400,3631.190032
336.229436,269,3635.51509
-60.382851,105,3637.28945
358.931524,186,3640.3874
714.809409,400,3646.368675
72.24118,179,3649.269522
357.208498,184,3652.389459
-23.580207,341,3658.071919
-20.47308,341,3663.75489
353.24154,185,3666.901057
619.368502,300,3671.865289
3.329179,300,3676.819586
1063.437725,300,3681.608301
222.652635,1,3681.649767
-28.087881,341,3687.298433
-28.284359,300,3692.321034
438.317431,341,3698.050869
-18.230236,400,3704.646738
-30.899247,300,3709.717697
319.249096,166,3712.467048
323.234117,167,3714.923666
1.182952,400,3721.176298
630.431071,300,3726.227981
347.087883,192,3729.407165
383.275849,219,3733.08473
327.370435,169,3735.557982
326.179101,400,3741.352566
308.300306,166,3743.883027
-0.458487,400,3749.666969
359.135274,185,3752.39806
327.752914,400,3758.226242
1061.505175,300,3762.510356
233.270575,1,3762.551639
364.88567,193,3765.382694
0.916808,300,3769.657236
403.936226,226,3772.937882
-4.517643,300,3777.289769
347.324034,180,3779.916893
-58.685081,341,3784.815063
-24.989468,341,3789.828551
404.084282,222,3793.073802
5.316504,300,3797.833992
16.418528,341,3802.787468
100.755146,341,3807.688761
295.085648,153,3809.892878
233.245933,1,3809.934453
-25.191433,24,3810.301189
619.191715,300,3814.652301
-22.060109,9,3814.806349
0.548276,300,3819.169052
233.233668,1,3819.211286
-10.052649,300,3823.561223
355.212767,183,3826.217571
417.261577,229,3829.517272
-2.244446,341,3834.547084
359.165581,186,3837.260326
115.762204,341,3842.190872
316.419538,400,3847.971179
35.188714,27,3848.440647
-29.569986,341,3853.46882
365.037162,189,3856.199137
233.212272,1,3856.240374
-27.254912,341,3861.196496
-3.258686,400,3866.96972
63.594084,187,3869.67558
-35.990866,341,3874.588419
404.958698,341,3879.502411
233.277359,1,3879.544538
-23.14458,341,3884.475747
1071.45107,300,3888.823243
59.678621,175,3891.403545
1063.998462,300,3895.661447
400.79008,341,3900.566826
615.665254,300,3905.257817
-45.797424,146,3907.752429
-33.25183,341,3912.84082
72.231077,173,3915.712684
2.809142,400,3922.330745
901.810809,400,3928.988426
1060.25664,300,3934.03154
419.498519,234,3937.867332
748.147482,375,3944.092596
1069.766833,300,3949.190537
-25.631244,341,3954.878463
1057.569196,300,3959.529835
-10.627764,26,3959.920645
368.922006,190,3962.763227
23.987174,341,3968.526602
313.344872,162,3971.213344
-2.303611,300,3975.989125
0.147848,300,3981.024736
32.734992,341,3986.792961
363.015543,188,3989.979744
233.238079,1,3990.023449
7.172598,400,3996.710016
-0.139589,300,4001.829917
-11.949997,4,4001.926524
-117.614285,219,4005.614334
-69.457993,341,4011.367451
437.674907,281,4016.187325
